size, block_size, success, time
45, 25, 0.240000, 0.216362
45, 27, 0.120000, 0.229629
45, 29, 0.310000, 0.237518
45, 31, 0.120000, 0.250569
45, 33, 0.140000, 0.302709
45, 35, 0.120000, 0.316176
45, 37, 0.310000, 0.326728
45, 39, 0.090000, 0.343614
45, 41, 0.270000, 0.354045
45, 43, 0.250000, 0.366081
45, 45, 0.080000, 0.390742
45, 47, 0.230000, 0.395295
45, 49, 0.140000, 0.413198
45, 51, 0.080000, 0.426836
45, 53, 0.360000, 0.435736
47, 5, 0.250000, 0.118851
47, 7, 0.130000, 0.135525
47, 9, 0.160000, 0.149820
47, 11, 0.280000, 0.160375
47, 13, 0.350000, 0.172446
47, 15, 0.040000, 0.186616
47, 17, 0.260000, 0.195671
47, 19, 0.280000, 0.207986
47, 21, 0.020000, 0.225054
47, 23, 0.400000, 0.232373
47, 25, 0.240000, 0.244990
47, 27, 0.110000, 0.262920
47, 29, 0.380000, 0.268590
47, 31, 0.140000, 0.282804
47, 33, 0.070000, 0.343289
47, 35, 0.070000, 0.357435
47, 37, 0.210000, 0.369835
47, 39, 0.110000, 0.390640
47, 41, 0.290000, 0.400393
47, 43, 0.390000, 0.415703
47, 45, 0.060000, 0.440997
47, 47, 0.270000, 0.446368
47, 49, 0.150000, 0.466405
47, 51, 0.110000, 0.485172
47, 53, 0.290000, 0.492968
49, 5, 0.280000, 0.134151
49, 7, 0.140000, 0.153621
49, 9, 0.090000, 0.168009
49, 11, 0.240000, 0.180444
49, 13, 0.280000, 0.193774
49, 15, 0.040000, 0.209401
49, 17, 0.280000, 0.220945
49, 19, 0.250000, 0.234468
49, 21, 0.050000, 0.252652
49, 23, 0.300000, 0.261737
49, 25, 0.210000, 0.274969
49, 27, 0.080000, 0.292639
49, 29, 0.290000, 0.302291
49, 31, 0.180000, 0.318470
49, 33, 0.070000, 0.387494
49, 35, 0.080000, 0.404605
49, 37, 0.300000, 0.418851
49, 39, 0.070000, 0.438725
49, 41, 0.480000, 0.451801
49, 43, 0.300000, 0.468593
