size, block_size, success
83, 23, 0.310000
83, 25, 0.200000
83, 27, 0.100000
83, 29, 0.280000
83, 31, 0.160000
83, 33, 0.100000
83, 35, 0.060000
83, 37, 0.390000
83, 39, 0.160000
83, 41, 0.280000
83, 43, 0.230000
83, 45, 0.040000
83, 47, 0.310000
83, 49, 0.140000
83, 51, 0.070000
83, 53, 0.290000
85, 5, 0.240000
85, 7, 0.160000

